age,sex,race_ethnicity,marital_status,education_level,income_level,occupation,place_of_residence,nationality,religion,language_spoken,household_size,credit_score,has_outstanding_loans,num_loans_taken_last_5yrs,loan_repayment_history_score,monthly_expenses,existing_monthly_liabilities,bank_account_access,internet_access,distance_to_nearest_bank_km,mobile_money_usage,success_score
32,Other,White,Married,Postgraduate,30000,Self-employed,Rural,Bangladeshi,Muslim,Bengali,5,351,0,2,0.24,23517,782,0,1,13.3,0,0.282
34,Other,Latino,Widowed,Graduate,50000,Teacher,Semi-urban,Nepali,Other,Marathi,7,835,0,4,0.58,10493,11864,0,0,17.5,0,0.714
23,Male,Mixed,Divorced,Postgraduate,20000,Engineer,Urban,Indian,Hindu,Hindi,2,618,0,0,0.87,7050,15541,1,0,10.9,1,0.703
62,Other,Latino,Divorced,Primary,100000,Laborer,Urban,Nepali,Sikh,Telugu,4,450,1,5,0.78,20047,17864,0,0,9.7,0,0.229
35,Female,Black,Divorced,Secondary,70000,Farmer,Rural,Indian,Hindu,Tamil,3,788,1,2,0.42,10671,14286,0,1,9.6,1,0.646
63,Other,Black,Married,Secondary,30000,Engineer,Rural,Indian,Christian,Hindi,1,797,0,2,0.0,24212,8134,0,1,23.2,0,0.652
34,Female,White,Divorced,Primary,100000,Engineer,Rural,Nepali,Buddhist,Marathi,1,423,0,5,0.54,21198,2041,0,1,14.8,0,0.449
24,Male,Black,Single,Primary,30000,Farmer,Rural,Indian,Christian,Tamil,3,776,1,3,0.97,17214,18186,1,0,5.3,0,0.748
31,Other,Mixed,Divorced,Secondary,50000,Self-employed,Rural,Nepali,Buddhist,Telugu,3,813,1,1,0.23,22554,15876,0,0,16.5,0,0.432
29,Male,Latino,Single,None,100000,Engineer,Semi-urban,Nepali,Muslim,Bengali,1,366,0,5,0.45,14045,18114,1,0,8.6,1,0.288
65,Male,Mixed,Single,Postgraduate,20000,Teacher,Rural,Nepali,Other,Telugu,6,845,0,4,0.43,19646,16265,0,0,16.6,0,0.555
